username,name,url_main,url_user,exists,http_status,response_time_s
torvalds,Docker Hub,https://hub.docker.com/,https://hub.docker.com/u/torvalds/,Claimed,200,0.30153687400002127
torvalds,RubyGems,https://rubygems.org/,https://rubygems.org/profiles/torvalds,Claimed,200,0.599778452999999
